ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,HOA Fee,Freq
BA21916741,14,21101,"$647,700 ","$750,000 ",1320,3,2,0,,2,1959,180,A
BA21929677,33,21101,"$725,000 ","$705,000 ",950,3,1,0,,2,1957,,
ME19036856,72,21101,"$799,000 ","$765,000 ",1036,3,1,0,,2,1959,,
BA21915173,128,21101,"$829,000 ","$812,500 ",1042,2,2,0,,2,1985,125,M
BA22004902,23,21101,"$850,000 ","$836,000 ",1169,3,2,0,,2,1959,,
BA21907980,29,21101,"$870,000 ","$720,000 ",1086,3,1,0,,2,1951,,
ME19032930,9,21101,"$879,900 ","$900,000 ",1148,3,2,0,,2,1957,,
BA22016885,7,21101,"$899,999 ","$957,100 ",1302,4,2,0,,2,1960,,
BA21908314,19,21101,"$929,000 ","$992,000 ",1390,3,2,0,,2,1967,,
BA22005197,98,21101,"$930,000 ","$900,000 ",1148,3,2,0,,2,1961,,
BA21921522,35,21101,"$997,900 ","$955,000 ",1730,4,2,0,,2,1971,,
BA21919182,15,21101,"$998,500 ","$1,050,000 ",1584,4,2,0,,2,1960,150,A
BA21914628,43,21101,"$1,049,000 ","$1,025,000 ",1428,3,2,0,,2,1958,,
ME19039477,45,21101,"$1,049,000 ","$1,025,000 ",1428,3,2,0,,2,1958,,
ME20060449,6,21101,"$1,098,000 ","$1,220,000 ",1372,3,2,0,,2,1972,,
BA21927898,39,21101,"$1,150,000 ","$1,150,000 ",1574,4,2,0,,2,1977,,
ME20004013,1,21101,"$1,150,000 ","$1,085,000 ",1556,4,2,0,,,1961,,
BA21919176,14,21101,"$1,225,000 ","$1,210,000 ",1877,3,2,0,,2,1959,140,A
ME19054928,15,21101,"$1,248,888 ","$1,200,000 ",1532,4,2,0,,2,1962,,
ME20034822,36,21101,"$1,290,000 ","$1,275,000 ",2088,4,2,0,,2,1963,15,M
BA22027415,4,21101,"$1,350,888 ","$1,425,000 ",1942,4,2,0,,2,1972,,
ME20023267,20,21101,"$1,375,000 ","$1,360,000 ",1342,3,2,0,,2,1965,,
BA22005680,9,21101,"$1,388,000 ","$1,400,000 ",2278,4,3,0,,2,1986,,
BA21927402,24,21101,"$1,475,000 ","$1,365,000 ",2172,4,3,0,,2,1971,,
BA21921030,59,21101,"$1,488,000 ","$1,575,000 ",2226,4,2,1,,2,1963,,
BA22009989,8,21101,"$1,999,999 ","$2,000,000 ",3058,6,4,0,,3,1998,,
BA21829510,41,21101,"$2,400,000 ","$2,300,000 ",3707,5,3,0,,3,1979,,
ML81758803,12,3500,"$647,700 ","$750,000 ",1320,3,2,,Y,2,1959,180,A
ML81776647,8,3500,"$659,900 ","$700,000 ",1038,3,1,1,Y,1,1957,,
ML81747684,0,3500,"$670,000 ","$670,000 ",840,3,2,0,,0,1920,,
ML81781786,8,3500,"$699,888 ","$885,000 ",1341,3,2,,Y,1,1951,,
ML81782502,5,3500,"$774,900 ","$775,000 ",1036,2,1,,,0,1904,,
ML81738025,20,3500,"$811,100 ","$775,000 ",768,2,2,,Y,3,1914,,
ML81757418,18,3500,"$825,000 ","$825,000 ",1150,3,2,,Y,2,1958,,
ML81776919,0,3500,"$829,000 ","$796,000 ",1120,3,2,,Y,2,1955,,
ML81821362,17,3500,"$829,000 ","$840,000 ",1205,3,2,,,0,1951,,
ML81764034,28,3500,"$829,888 ","$870,000 ",1240,3,2,,Y,2,1965,,
ML81780105,5,3500,"$849,900 ","$935,000 ",1166,3,2,,,0,1953,,
ML81788764,90,3500,"$858,000 ","$740,000 ",1120,3,2,,Y,2,1955,,
ML81774335,14,3500,"$869,000 ","$860,000 ",1168,3,2,,Y,2,1955,,
ML81803435,6,3500,"$870,000 ","$975,000 ",1108,3,2,,Y,2,1965,,
ML81730025,119,3500,"$875,000 ","$860,000 ",1080,3,2,,Y,2,1960,,
ML81757350,15,3500,"$875,000 ","$875,000 ",1148,3,2,,Y,2,1956,,
ML81774229,19,3500,"$876,000 ","$840,000 ",1154,3,2,,Y,2,1956,,
ML81774200,22,3500,"$879,000 ","$860,000 ",1168,3,2,,Y,2,1956,,
ML81807156,12,3500,"$879,950 ","$925,000 ",1119,3,2,,Y,2,1954,,
ML81731149,69,3500,"$888,000 ","$875,000 ",1148,3,2,,Y,2,1957,,
ML81818043,13,3500,"$898,000 ","$930,000 ",1136,3,2,,Y,2,1955,,
ML81771368,30,3500,"$899,000 ","$900,000 ",1168,3,2,,Y,2,1955,,
ML81756697,6,3500,"$899,000 ","$908,000 ",1148,3,2,,Y,2,1958,,
ML81828137,4,3500,"$899,900 ","$1,050,000 ",1148,3,2,,Y,2,1957,,
ML81813390,6,3500,"$899,950 ","$1,028,250 ",1136,3,2,,Y,2,1954,,
ML81767390,65,3500,"$900,000 ","$859,500 ",1148,3,3,,Y,2,1956,,
ML81788015,158,3500,"$909,888 ","$910,000 ",1872,4,2,1,Y,2,1960,,
ML81753473,19,3500,"$949,000 ","$900,000 ",1526,3,2,,Y,2,1958,,
ML81775255,10,3500,"$949,888 ","$1,050,000 ",1384,3,2,1,Y,2,1995,42,
ML81755525,67,3500,"$949,999 ","$950,000 ",1615,4,2,,Y,2,1961,,
ML81853446,8,3500,"$950,000 ","$1,000,000 ",1150,3,2,,Y,2,1956,,
ML81771188,28,3500,"$959,999 ","$930,000 ",1256,3,2,,Y,2,1967,,
ML81738766,7,3500,"$968,000 ","$985,000 ",1537,4,2,,Y,2,1955,,
ML81819865,7,3500,"$975,000 ","$1,172,000 ",1376,3,2,1,Y,2,1999,115,M
ML81827202,8,3500,"$975,000 ","$1,075,000 ",1570,4,2,,Y,1,1933,,
ML81801531,5,3500,"$979,000 ","$1,030,000 ",1372,4,2,,Y,2,1985,,
ML81796534,7,3500,"$979,999 ","$1,053,988 ",1232,3,2,,Y,2,1963,,
ML81788874,21,3500,"$980,000 ","$1,035,000 ",1480,3,2,,Y,2,1972,,
ML81860824,5,3500,"$989,000 ","$1,156,000 ",1001,2,2,,Y,2,1987,88,M
ML81851642,12,3500,"$995,000 ","$1,168,800 ",1272,3,2,,Y,2,1960,,
ML81771627,14,3500,"$998,000 ","$1,035,000 ",1423,3,3,,Y,2,1988,85,
ML81784398,8,3500,"$998,000 ","$1,080,000 ",1387,4,2,,Y,2,1966,,
ML81848322,10,3500,"$998,000 ","$1,230,000 ",1136,3,2,,Y,2,1955,,
ML81827378,8,3500,"$998,888 ","$1,220,361 ",1148,3,2,,Y,2,1957,,
ML81846334,7,3500,"$999,000 ","$1,410,000 ",1238,3,2,,Y,2,1959,,
ML81748573,5,3500,"$999,800 ","$1,000,000 ",1688,3,3,,Y,2,1951,,
ML81746935,19,3500,"$999,800 ","$985,000 ",1658,3,2,1,Y,2,2013,262,
ML81737064,6,3500,"$999,888 ","$980,000 ",1362,3,3,,Y,2,1955,,
ML81799129,14,3500,"$999,888 ","$1,020,000 ",1242,3,2,,Y,2,1964,,
ML81786283,9,3500,"$999,888 ","$1,180,000 ",1612,3,2,0,Y,2,1967,,
ML81767193,82,3500,"$1,029,990 ","$1,010,000 ",1347,3,2,,Y,2,1962,,
ML81792932,0,3500,"$1,030,000 ","$1,030,000 ",1152,3,2,,Y,2,1961,,
ML81829335,7,3500,"$1,048,800 ","$1,220,000 ",1529,3,2,1,Y,2,1999,125,M
ML81798953,9,3500,"$1,049,000 ","$1,130,000 ",1589,3,2,1,Y,2,1989,,
ML81734647,17,3500,"$1,050,000 ","$1,080,000 ",1416,3,2,1,Y,2,1989,,
ML81766836,13,3500,"$1,050,000 ","$1,008,500 ",1413,4,2,,Y,2,1962,,
ML81802094,1,3500,"$1,060,000 ","$1,060,000 ",1579,3,2,,Y,2,1969,,
ML81810049,7,3500,"$1,060,000 ","$1,152,500 ",1384,3,2,1,Y,2,1989,,
ML81841310,7,3500,"$1,079,000 ","$1,405,000 ",1176,3,2,,Y,2,1958,,
ML81780768,7,3500,"$1,080,000 ","$1,167,000 ",1404,3,2,,Y,2,1961,,
ML81767136,26,3500,"$1,080,000 ","$1,070,000 ",1453,3,2,,Y,2,1976,,
ML81847124,7,3500,"$1,086,200 ","$1,144,000 ",1066,3,1,,Y,1,1952,,
ML81807125,8,3500,"$1,088,000 ","$1,140,000 ",1370,3,2,1,Y,2,1989,,
ML81742240,20,3500,"$1,088,800 ","$1,150,000 ",1577,3,2,,Y,2,1962,,
ML81818715,6,3500,"$1,090,000 ","$1,234,000 ",1412,3,2,,Y,2,1960,,
ML81737225,6,3500,"$1,090,000 ","$1,161,000 ",1384,3,2,1,Y,2,1995,42,
ML81851064,3,3500,"$1,098,000 ","$1,250,000 ",1472,3,2,,Y,1,1964,216,A
ML81822215,5,3500,"$1,098,800 ","$1,235,000 ",1564,3,2,,Y,2,1965,,
ML81758319,23,3500,"$1,098,888 ","$1,060,000 ",2001,3,3,,Y,2,2007,119,
ML81808017,6,3500,"$1,099,000 ","$1,155,000 ",1917,3,4,1,Y,2,2007,138,M
ML81811489,2,3500,"$1,099,000 ","$1,160,000 ",1320,3,2,,Y,2,1959,216,A
ML81806831,6,3500,"$1,099,000 ","$1,200,000 ",1344,3,2,,Y,2,1960,,
ML81749448,1,3500,"$1,099,000 ","$1,110,000 ",1422,3,2,,Y,2,1967,,
ML81799263,5,3500,"$1,099,000 ","$1,125,000 ",1866,4,2,1,Y,2,1998,55,
ML81807902,4,3500,"$1,099,888 ","$1,150,000 ",1904,4,3,,Y,2,1955,,
ML81785137,7,3500,"$1,099,900 ","$1,255,000 ",2053,5,3,,Y,2,1978,,
ML81793968,3,3500,"$1,100,000 ","$1,100,000 ",1669,3,2,,Y,2,1965,,
ML81766720,8,3500,"$1,100,000 ","$1,150,000 ",1542,4,2,,Y,2,1958,150,A
ML81745953,22,3500,"$1,120,888 ","$1,070,000 ",1405,4,2,,Y,2,1963,,
ML81793329,5,3500,"$1,129,800 ","$1,150,000 ",1911,4,2,1,Y,2,1997,85,
ML81812192,3,3500,"$1,138,888 ","$1,189,888 ",1390,3,2,,Y,2,1959,,
ML81797628,31,3500,"$1,140,000 ","$1,160,000 ",1848,3,2,1,Y,2,1991,125,
ML81760933,22,3500,"$1,148,000 ","$1,120,000 ",1584,4,2,,Y,2,1960,15,
ML81802416,35,3500,"$1,149,000 ","$1,180,000 ",2066,4,2,1,Y,2,2002,,
ML81781921,11,3500,"$1,149,000 ","$1,144,000 ",1740,3,2,1,Y,2,1997,90,M
ML81775775,2,3500,"$1,149,950 ","$1,170,000 ",2008,3,2,0,Y,2,1958,180,A
ML81801630,9,3500,"$1,150,000 ","$1,250,000 ",1523,3,2,,Y,2,1970,,
ML81803593,8,3500,"$1,150,000 ","$1,205,000 ",1503,4,2,,Y,2,1977,,
ML81821962,7,3500,"$1,150,000 ","$1,220,000 ",2000,4,3,,Y,2,2008,125,
ML81779235,5,3500,"$1,155,000 ","$1,155,000 ",2422,4,3,1,Y,2,2016,189,
ML81782312,9,3500,"$1,159,000 ","$1,195,000 ",1526,3,2,,Y,2,1958,,
ML81824194,9,3500,"$1,169,888 ","$1,352,000 ",1576,3,2,,Y,2,1968,,
ML81756452,73,3500,"$1,174,999 ","$1,140,000 ",2394,4,2,1,Y,2,1963,,
ML81830382,0,3500,"$1,175,000 ","$1,220,000 ",1399,4,2,,Y,2,1965,,
ML81822865,6,3500,"$1,180,000 ","$1,263,000 ",2079,3,2,,Y,2,1952,,
ML81739217,25,3500,"$1,180,000 ","$1,150,000 ",1523,3,2,,Y,2,1972,,
ML81771713,10,3500,"$1,180,000 ","$1,203,600 ",1579,3,2,,Y,2,1970,,
ML81747574,8,3500,"$1,180,000 ","$1,288,000 ",2160,4,3,,Y,2,1965,,
ML81794141,5,3500,"$1,185,000 ","$1,280,000 ",1889,4,2,1,Y,2,1978,,
ML81799493,6,3500,"$1,188,000 ","$1,310,000 ",1588,4,2,,Y,2,1964,216,
ML81805423,1,3500,"$1,188,000 ","$1,305,000 ",1951,5,2,,Y,2,1962,,
ML81827794,10,3500,"$1,188,888 ","$1,388,888 ",1760,3,2,1,Y,2,1994,133,M
ML81779279,6,3500,"$1,189,000 ","$1,236,227 ",1789,4,2,1,Y,2,1989,,
ML81779168,14,3500,"$1,190,000 ","$1,290,000 ",1942,4,2,,Y,2,1971,,
ML81803251,10,3500,"$1,190,888 ","$1,275,000 ",2501,5,3,,Y,2,1963,,
ML81795509,6,3500,"$1,195,000 ","$1,244,000 ",1675,3,2,,Y,2,1977,,
ML81830248,14,3500,"$1,195,000 ","$1,231,000 ",1317,3,2,,Y,2,1958,,
ML81748508,9,3500,"$1,198,000 ","$1,225,000 ",1523,3,2,,Y,2,1971,,
ML81860082,3,3500,"$1,198,000 ","$1,350,000 ",1474,3,2,1,Y,2,1987,88,M
ML81834202,0,3500,"$1,198,000 ","$1,298,000 ",1453,3,2,,Y,2,1981,,
ML81847005,7,3500,"$1,198,000 ","$1,305,000 ",1638,3,2,1,Y,2,1987,88,M
ML81775537,4,3500,"$1,198,000 ","$1,180,000 ",1755,2,2,1,Y,2,1988,78,
ML81853625,6,3500,"$1,198,000 ","$1,325,000 ",1298,3,2,,Y,2,1975,,
ML81803119,7,3500,"$1,198,000 ","$1,230,000 ",1737,3,2,1,Y,2,1987,88,
ML81851031,1,3500,"$1,198,900 ","$1,380,000 ",1409,4,2,,Y,2,1977,,
ML81835998,5,3500,"$1,199,000 ","$1,328,000 ",1503,3,2,1,Y,2,1950,,
ML81743479,15,3500,"$1,199,000 ","$1,350,000 ",2160,4,3,,Y,2,1965,,
ML81795281,4,3500,"$1,199,000 ","$1,230,000 ",2422,4,3,1,Y,2,2016,149,
ML81848480,22,3500,"$1,199,000 ","$1,250,000 ",1384,3,2,1,Y,2,1989,,
ML81825624,21,3500,"$1,199,000 ","$1,410,000 ",1503,4,2,,Y,2,1977,,
