ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,Gar,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40843932,45,3700,"$848,888 ","$805,000 ",1165,2,2,0,N,2,1976,"5,916",,1/2/19
40844383,28,3700,"$1,189,000 ","$1,220,000 ",1480,4,3,0,Y,2,1958,"7,875",150,1/2/19
SF478231,52,3700,"$1,280,000 ","$1,100,000 ",1192,3,1,0,,,,"7,735",,1/2/19
40844295,52,3700,"$1,280,000 ","$1,100,000 ",1192,3,1,0,Y,2,1954,"7,735",,1/2/19
ML81728224,42,3700,"$1,089,950 ","$1,041,515 ",1915,3,2,0,Y,2,1958,"7,700",150,1/3/19
40843126,42,3700,"$1,089,950 ","$1,041,515 ",1915,3,2,0,Y,2,1958,"7,700",150,1/3/19
40846049,17,3700,"$880,000 ","$846,000 ",1347,3,2,0,Y,2,1962,"5,700",,1/4/19
40846392,18,3700,"$999,999 ","$1,015,101 ",1515,4,2,0,Y,2,1958,"5,000",,1/4/19
40843842,33,3700,"$1,098,000 ","$1,051,000 ",1434,4,2,0,Y,2,1962,"6,490",,1/4/19
40847831,9,3700,"$2,299,800 ","$2,388,650 ",2767,5,2,1,Y,3,1997,"11,192",,1/4/19
40843616,31,3700,"$915,000 ","$820,000 ",1324,4,2,,Y,2,1962,"6,825",,1/7/19
40847855,17,3700,"$1,188,000 ","$1,080,000 ",1762,3,2,0,Y,2,1977,"9,877",,1/7/19
ML81733000,16,3700,"$1,188,000 ","$1,080,000 ",1762,3,2,,Y,2,1977,"9,877",,1/7/19
40846776,14,3700,"$749,000 ","$749,000 ",950,3,1,,Y,1,1955,"5,000",,1/8/19
40840903,46,3700,"$1,048,000 ","$1,000,000 ",1424,4,2,,Y,2,1961,"6,200",,1/8/19
40844950,33,3700,"$1,081,650 ","$1,065,000 ",1910,5,3,,Y,2,1960,"6,035",,1/8/19
40841235,69,3700,"$799,000 ","$750,000 ",1060,3,2,0,Y,2,1969,"3,120",,1/9/19
40844802,34,3700,"$1,375,000 ","$1,345,000 ",2102,4,2,1,Y,2,1963,"10,549",,1/10/19
ML81732180,14,3700,"$969,950 ","$950,000 ",1286,3,2,0,Y,2,1981,"6,419",,1/11/19
40846995,14,3700,"$969,950 ","$950,000 ",1286,3,2,0,Y,2,1981,"6,419",,1/11/19
40847633,9,3700,"$999,995 ","$985,000 ",1187,3,2,0,Y,2,1984,"8,140",,1/11/19
40841538,58,3700,"$1,349,888 ","$1,300,000 ",2184,4,3,0,Y,2,1977,"10,860",,1/11/19
ML81733698,0,3700,"$988,000 ","$950,000 ",1624,4,4,,Y,2,1962,"6,200",,1/14/19
40843676,35,3700,"$1,098,950 ","$1,075,000 ",1411,3,2,0,Y,2,1962,"7,500",155,1/14/19
40847730,7,3700,"$1,448,888 ","$1,575,000 ",2100,4,2,1,Y,2,1978,"6,659",,1/14/19
40846105,7,3700,"$1,488,888 ","$1,475,000 ",1720,4,2,,Y,2,1968,"9,600",,1/14/19
40847869,9,3700,"$789,950 ","$792,000 ",1108,3,2,0,Y,2,1966,"5,684",,1/15/19
40841025,63,3700,"$998,800 ","$949,000 ",2314,4,3,0,Y,2,1960,"5,508",,1/15/19
SF478282,45,3700,"$1,098,000 ","$1,051,000 ",1434,4,2,0,,0,1962,"6,490",,1/15/19
40846923,15,3700,"$1,175,000 ","$1,160,000 ",1762,3,2,0,Y,2,1976,"7,055",,1/15/19
ML81717149,153,3700,"$3,199,999 ","$3,050,000 ",4210,5,4,1,Y,4,2000,"25,702",262,1/16/19
40833321,158,3700,"$3,199,999 ","$3,050,000 ",4210,5,4,1,Y,4,2000,"25,702",262,1/16/19
40847611,15,3700,"$975,000 ","$996,000 ",1368,3,2,0,Y,2,1962,"7,200",,1/17/19
40846658,13,3700,"$975,000 ","$1,011,000 ",1916,4,1,1,Y,2,1964,"6,603",,1/18/19
40845970,36,3700,"$1,000,000 ","$980,000 ",1909,4,2,,Y,2,1963,"6,944",,1/18/19
ME18069838,78,3700,"$1,088,000 ","$1,030,000 ",1526,3,2,0,,2,1960,"7,012",150,1/18/19
40841860,69,3700,"$1,088,000 ","$1,030,000 ",1526,3,2,,Y,2,1960,"7,012",150,1/18/19
40848187,13,3700,"$1,350,000 ","$1,360,000 ",2386,4,2,1,Y,2,1999,"4,950",135,1/18/19
ML81730452,7,3700,"$1,490,000 ","$1,486,000 ",2071,4,2,1,Y,3,1988,"7,086",65,1/18/19
40845275,14,3700,"$1,490,000 ","$1,486,000 ",2071,4,2,1,Y,3,1988,"7,086",65,1/18/19
ML81733047,11,3700,"$799,888 ","$945,000 ",1358,3,2,,Y,2,1960,"5,400",,1/19/19
40843286,59,3700,"$1,225,000 ","$1,180,000 ",1831,4,2,0,Y,2,1969,"5,800",,1/19/19
ME18068030,90,3700,"$839,000 ","$800,000 ",1200,3,2,0,,2,1961,"5,605",,1/22/19
40840873,90,3700,"$839,000 ","$800,000 ",1200,3,2,0,Y,2,1961,"5,605",,1/22/19
40848104,17,3700,"$1,009,888 ","$975,000 ",1249,3,2,0,Y,2,1963,"6,000",,1/22/19
40839231,89,3700,"$1,088,888 ","$1,088,888 ",1314,4,2,,Y,2,1960,"7,564",,1/22/19
40844910,45,3700,"$1,344,800 ","$1,325,000 ",1993,4,2,0,Y,2,1952,"11,434",,1/22/19
40842079,71,3700,"$745,000 ","$730,000 ",950,3,2,,N,0,1953,"5,500",,1/23/19
40846239,44,3700,"$800,000 ","$840,000 ",1078,3,2,0,Y,2,1961,"7,189",,1/23/19
40848233,7,3700,"$1,049,800 ","$1,101,500 ",1736,4,2,0,Y,2,1962,"6,000",,1/23/19
40844114,69,3700,"$1,599,800 ","$1,550,000 ",2577,5,2,1,Y,2,1969,"6,510",,1/23/19
40850584,0,3700,"$799,988 ","$785,000 ",1140,3,1,,Y,2,1962,"6,136",,1/24/19
40847822,25,3700,"$815,000 ","$750,000 ",1369,3,1,,Y,1,1957,"9,000",,1/24/19
ML81732407,31,3700,"$1,138,000 ","$1,168,000 ",1298,3,2,,Y,2,1976,"7,502",,1/24/19
40849006,11,3700,"$620,000 ","$721,000 ",1112,3,2,,Y,2,1954,"5,500",,1/25/19
ML81728174,92,3700,"$799,988 ","$785,000 ",1140,3,1,,Y,2,1962,"6,136",,1/25/19
40846148,27,3700,"$999,000 ","$990,000 ",1712,3,2,1,Y,2,2014,1813,132,1/25/19
40846955,33,3700,"$1,225,000 ","$1,160,000 ",1868,4,3,0,Y,2,1962,"5,856",,1/25/19
40848076,19,3700,"$875,000 ","$910,000 ",1424,4,2,0,Y,2,1961,"6,000",,1/28/19
40847021,59,3700,"$949,000 ","$930,000 ",1302,4,2,,Y,2,1960,"7,021",,1/29/19
40848532,7,3700,"$999,800 ","$1,000,000 ",1494,4,2,0,Y,2,1963,"8,833",,1/30/19
40846913,33,3700,"$1,098,000 ","$1,040,000 ",1214,3,2,0,Y,2,1986,"4,508",,1/30/19
ML81732250,32,3700,"$1,098,000 ","$1,040,000 ",1214,3,2,,Y,2,1986,"4,508",,1/30/19
40848274,14,3700,"$1,149,888 ","$1,188,000 ",1497,4,2,,Y,2,1953,"10,001",150,1/30/19
40847772,26,3700,"$1,248,000 ","$1,275,000 ",1615,3,2,1,Y,2,1992,"3,874",40,1/30/19
ML81732918,25,3700,"$1,300,000 ","$1,230,000 ",1607,3,2,1,Y,2,1989,"2,772",90,1/30/19
40848313,15,3700,"$1,388,000 ","$1,200,006 ",2673,6,3,0,N,0,1950,"12,035",,1/30/19
40847787,35,3700,"$800,000 ","$680,000 ",1132,3,2,0,Y,2,1955,"5,400",,2/1/19
40844964,62,3700,"$849,950 ","$810,000 ",1440,3,2,,Y,2,1976,"5,880",,2/1/19
40847198,46,3700,"$991,111 ","$1,065,000 ",1831,4,2,,Y,2,1969,"4,458",,2/1/19
40843891,78,3700,"$1,040,000 ","$1,040,000 ",1587,4,2,0,Y,2,1962,"6,600",,2/1/19
40837012,82,3700,"$1,098,000 ","$1,098,000 ",1716,4,2,0,Y,2,1957,"7,350",150,2/1/19
40848594,8,3700,"$799,000 ","$799,000 ",1148,3,2,0,Y,2,1957,"5,400",,2/4/19
40848124,25,3700,"$899,000 ","$865,000 ",1726,5,3,0,Y,1,1964,"7,280",,2/4/19
40848068,23,3700,"$1,200,000 ","$1,200,000 ",1613,4,2,0,Y,2,1950,"14,196",,2/4/19
