ID,DOM,Area,LP,SP,SqFt,BR,Bth,PB,GarSp,YrBlt,Lot SqFt,HOA Fee,Closing Date
40843932,45,3700,848888,805000,1165,2,2,0,2,1976,5916,0,2019-01-02
40844383,28,3700,1189000,1220000,1480,4,3,0,2,1958,7875,150,2019-01-02
40844295,52,3700,1280000,1100000,1192,3,1,0,2,1954,7735,0,2019-01-02
ML81728224,42,3700,1089950,1041515,1915,3,2,0,2,1958,7700,150,2019-01-03
40843126,42,3700,1089950,1041515,1915,3,2,0,2,1958,7700,150,2019-01-03
40846049,17,3700,880000,846000,1347,3,2,0,2,1962,5700,0,2019-01-04
40846392,18,3700,999999,1015101,1515,4,2,0,2,1958,5000,0,2019-01-04
40843842,33,3700,1098000,1051000,1434,4,2,0,2,1962,6490,0,2019-01-04
40847831,9,3700,2299800,2388650,2767,5,2,1,3,1997,11192,0,2019-01-04
40843616,31,3700,915000,820000,1324,4,2,0,2,1962,6825,0,2019-01-07
40847855,17,3700,1188000,1080000,1762,3,2,0,2,1977,9877,0,2019-01-07
ML81733000,16,3700,1188000,1080000,1762,3,2,0,2,1977,9877,0,2019-01-07
40846776,14,3700,749000,749000,950,3,1,0,1,1955,5000,0,2019-01-08
40840903,46,3700,1048000,1000000,1424,4,2,0,2,1961,6200,0,2019-01-08
40844950,33,3700,1081650,1065000,1910,5,3,0,2,1960,6035,0,2019-01-08
40841235,69,3700,799000,750000,1060,3,2,0,2,1969,3120,0,2019-01-09
40844802,34,3700,1375000,1345000,2102,4,2,1,2,1963,10549,0,2019-01-10
ML81732180,14,3700,969950,950000,1286,3,2,0,2,1981,6419,0,2019-01-11
40846995,14,3700,969950,950000,1286,3,2,0,2,1981,6419,0,2019-01-11
40847633,9,3700,999995,985000,1187,3,2,0,2,1984,8140,0,2019-01-11
40841538,58,3700,1349888,1300000,2184,4,3,0,2,1977,10860,0,2019-01-11
ML81733698,0,3700,988000,950000,1624,4,4,0,2,1962,6200,0,2019-01-14
40843676,35,3700,1098950,1075000,1411,3,2,0,2,1962,7500,155,2019-01-14
40847730,7,3700,1448888,1575000,2100,4,2,1,2,1978,6659,0,2019-01-14
40846105,7,3700,1488888,1475000,1720,4,2,0,2,1968,9600,0,2019-01-14
40847869,9,3700,789950,792000,1108,3,2,0,2,1966,5684,0,2019-01-15
40841025,63,3700,998800,949000,2314,4,3,0,2,1960,5508,0,2019-01-15
SF478282,45,3700,1098000,1051000,1434,4,2,0,0,1962,6490,0,2019-01-15
40846923,15,3700,1175000,1160000,1762,3,2,0,2,1976,7055,0,2019-01-15
ML81717149,153,3700,3199999,3050000,4210,5,4,1,4,2000,25702,262,2019-01-16
40833321,158,3700,3199999,3050000,4210,5,4,1,4,2000,25702,262,2019-01-16
40847611,15,3700,975000,996000,1368,3,2,0,2,1962,7200,0,2019-01-17
40846658,13,3700,975000,1011000,1916,4,1,1,2,1964,6603,0,2019-01-18
40845970,36,3700,1000000,980000,1909,4,2,0,2,1963,6944,0,2019-01-18
ME18069838,78,3700,1088000,1030000,1526,3,2,0,2,1960,7012,150,2019-01-18
40841860,69,3700,1088000,1030000,1526,3,2,0,2,1960,7012,150,2019-01-18
40848187,13,3700,1350000,1360000,2386,4,2,1,2,1999,4950,135,2019-01-18
ML81730452,7,3700,1490000,1486000,2071,4,2,1,3,1988,7086,65,2019-01-18
40845275,14,3700,1490000,1486000,2071,4,2,1,3,1988,7086,65,2019-01-18
ML81733047,11,3700,799888,945000,1358,3,2,0,2,1960,5400,0,2019-01-19
40843286,59,3700,1225000,1180000,1831,4,2,0,2,1969,5800,0,2019-01-19
ME18068030,90,3700,839000,800000,1200,3,2,0,2,1961,5605,0,2019-01-22
40840873,90,3700,839000,800000,1200,3,2,0,2,1961,5605,0,2019-01-22
40848104,17,3700,1009888,975000,1249,3,2,0,2,1963,6000,0,2019-01-22
40839231,89,3700,1088888,1088888,1314,4,2,0,2,1960,7564,0,2019-01-22
40844910,45,3700,1344800,1325000,1993,4,2,0,2,1952,11434,0,2019-01-22
40842079,71,3700,745000,730000,950,3,2,0,0,1953,5500,0,2019-01-23
40846239,44,3700,800000,840000,1078,3,2,0,2,1961,7189,0,2019-01-23
40848233,7,3700,1049800,1101500,1736,4,2,0,2,1962,6000,0,2019-01-23
40844114,69,3700,1599800,1550000,2577,5,2,1,2,1969,6510,0,2019-01-23
40850584,0,3700,799988,785000,1140,3,1,0,2,1962,6136,0,2019-01-24
40847822,25,3700,815000,750000,1369,3,1,0,1,1957,9000,0,2019-01-24
ML81732407,31,3700,1138000,1168000,1298,3,2,0,2,1976,7502,0,2019-01-24
40849006,11,3700,620000,721000,1112,3,2,0,2,1954,5500,0,2019-01-25
ML81728174,92,3700,799988,785000,1140,3,1,0,2,1962,6136,0,2019-01-25
